ID,TEXT
0,Happy DB Small
1,We had a serious talk with some friends of ours who have been flaky lately. They understood and we had a good evening hanging out.
2,I meditated last night.
3,My grandmother start to walk from the bed after a long time.
4,I picked my daughter up from the airport and we have a fun and good conversation on the way home.
5,when i received flowers from my best friend
6,I went shopping 
7,The phone that I have ordered in a local online store was delivered this morning. I like the phone so much!
8,I bought a new TV
9,I slow cooked a chuck roast on my stove that came out great.
10,I lost 2 kgs of weight after a month long effort I had put to achieve it.
11,i finally learned to cook chicken
12,INDIA WON THE SERIES AGAINST AUSTRALIA MADE ME TO FEEL HAPPY
13,My son results is today its got very good he scored 99% in school its so happy to see the results
14,My family went to a wildlife park. It was so beautiful.
15,A made quite the progress on an old rusty workbench I am restoring at the moment. With the new paint it looks like new.
16,Getting all my errands done and completed.
17,I finally mastered how to make crispy tofu.
18,After 3 long weeks of deep snow covered ground we finally had enough warm days in the Northeast for the snow to melt and I was able to start my day with a fantastic hike up the Appalachian trail that runs nearby my home. I felt as though my entire life suddenly came back into balance after being held back for weeks due to the enormous amount of snowfall :)
19,My husband says me 'I love u ' when i woke up in the morning.
20,I ate some peanut butter M&Ms while watching John Oliver. They were delicious and he was hilarious.
21,I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.
22,I enjoyed play Soccer with my brother
23,I went to lunch with my girlfriend and her family
24,"My wife told me that despite my having lost overtime hours, she is happy to have me around her more.  "
25,I cooked food for my mother-in-law.  And she liked it too
26,My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself. 
27,I finally decorated my son's room for his birthday.
28,"I traveled with my family and went to a beautiful beach, I enjoyed most of the attraction in the area, there's entertainers everywhere and a lot of people are gathering with music bands partying. It was a pleasant experience and I hope to return there anytime soon."
29,"The weather is very sultry in our place, our AC unit was damaged by rodents. The Electrician came earlier today and repaired it. Thank God, I need not sweat today."
30,I celebrated my 7th wedding anniversary with my wife.
31,My wife wear her favorite saree for office meeting.
32,I played tennis with my friends
33,My daughter visited me at evening
34,I measured my weight and found to be 1 pound lesser than the earlier day
35,"While buying medicine from a regular pharmacy store, I came to know that I had some unused points from my old purchases, so I did not have to pay anything for medicine I bought. "
36,Find a new job
37,When me and my wife shared pleasures. Both of us were very happy.
38,"I got up very early, before daylight, and went outside to fly one of my RC quadcopters which is equipped with LED lights. While the lights make it very easy to see and orient the quadcopter, it is still somewhat difficult to see trees and other obstructions in my yard.  I was able to fly for just over 10 minutes all around my yard, over my home and our over my neighbor's yard (I have permission).  Flying in total darkness is challenging and super fun. "
39,My husband bought my favourite sweet that really made me very happy
40,My husband made me my favorite food for dinner. 
41,all are happy because of me for solving the major issue 
42,One last azalea bloom came out today and I was happy to see it because all of the other flowers were killed by a late frost a few weeks back.
43,"I was able to find time to go have my hair cut, something I have been putting off all month and it looks great!"
44,I got my computer fixed finally.Now i can get back to doing the things i need to get done.
45,My mother called out of the blue to tell me how proud she is of me.
